Time resolution is 1 ps
time A    B | Q   Rem divide_by_zero
0   0  0  |   0  0  1
10   0  1  |   0  0  0
15   0  2  |   0  0  0
20   0  3  |   0  0  0
25   1  0  |   0  0  1
30   1  1  |   1  0  0
35   1  2  |   0  1  0
40   1  3  |   0  1  0
45   2  0  |   0  0  1
50   2  1  |   2  0  0
55   2  2  |   1  0  0
60   2  3  |   0  2  0
65   3  0  |   0  0  1
70   3  1  |   3  0  0
75   3  2  |   1  1  0
80   3  3  |   1  0  0
$finish called at time : 85 ns : File "E:/HDL_2026/Week_1/Day_2/Practice/Binary Divider 2 bit/binary_divider_2bit/binary_divider_2bit.srcs/sources_1/new/tb_binary_divider_2bit.v" Line 54
