Time resolution is 1 ps
Starting exhaustive test for 4x4 multiplier...
PASS: A=0 B=0 | P=0
PASS: A=0 B=1 | P=0
PASS: A=0 B=2 | P=0
PASS: A=0 B=3 | P=0
PASS: A=0 B=4 | P=0
PASS: A=0 B=5 | P=0
PASS: A=0 B=6 | P=0
PASS: A=0 B=7 | P=0
PASS: A=0 B=8 | P=0
PASS: A=0 B=9 | P=0
PASS: A=0 B=10 | P=0
PASS: A=0 B=11 | P=0
PASS: A=0 B=12 | P=0
PASS: A=0 B=13 | P=0
PASS: A=0 B=14 | P=0
PASS: A=0 B=15 | P=0
PASS: A=1 B=0 | P=0
PASS: A=1 B=1 | P=1
PASS: A=1 B=2 | P=2
PASS: A=1 B=3 | P=3
PASS: A=1 B=4 | P=4
PASS: A=1 B=5 | P=5
PASS: A=1 B=6 | P=6
PASS: A=1 B=7 | P=7
PASS: A=1 B=8 | P=8
PASS: A=1 B=9 | P=9
PASS: A=1 B=10 | P=10
PASS: A=1 B=11 | P=11
PASS: A=1 B=12 | P=12
PASS: A=1 B=13 | P=13
PASS: A=1 B=14 | P=14
PASS: A=1 B=15 | P=15
PASS: A=2 B=0 | P=0
PASS: A=2 B=1 | P=2
PASS: A=2 B=2 | P=4
PASS: A=2 B=3 | P=6
PASS: A=2 B=4 | P=8
PASS: A=2 B=5 | P=10
PASS: A=2 B=6 | P=12
PASS: A=2 B=7 | P=14
PASS: A=2 B=8 | P=16
PASS: A=2 B=9 | P=18
PASS: A=2 B=10 | P=20
PASS: A=2 B=11 | P=22
PASS: A=2 B=12 | P=24
PASS: A=2 B=13 | P=26
PASS: A=2 B=14 | P=28
PASS: A=2 B=15 | P=30
PASS: A=3 B=0 | P=0
PASS: A=3 B=1 | P=3
PASS: A=3 B=2 | P=6
PASS: A=3 B=3 | P=9
PASS: A=3 B=4 | P=12
PASS: A=3 B=5 | P=15
PASS: A=3 B=6 | P=18
PASS: A=3 B=7 | P=21
PASS: A=3 B=8 | P=24
PASS: A=3 B=9 | P=27
PASS: A=3 B=10 | P=30
PASS: A=3 B=11 | P=33
PASS: A=3 B=12 | P=36
PASS: A=3 B=13 | P=39
PASS: A=3 B=14 | P=42
PASS: A=3 B=15 | P=45
PASS: A=4 B=0 | P=0
PASS: A=4 B=1 | P=4
PASS: A=4 B=2 | P=8
PASS: A=4 B=3 | P=12
PASS: A=4 B=4 | P=16
PASS: A=4 B=5 | P=20
PASS: A=4 B=6 | P=24
PASS: A=4 B=7 | P=28
PASS: A=4 B=8 | P=32
PASS: A=4 B=9 | P=36
PASS: A=4 B=10 | P=40
PASS: A=4 B=11 | P=44
PASS: A=4 B=12 | P=48
PASS: A=4 B=13 | P=52
PASS: A=4 B=14 | P=56
PASS: A=4 B=15 | P=60
PASS: A=5 B=0 | P=0
PASS: A=5 B=1 | P=5
PASS: A=5 B=2 | P=10
PASS: A=5 B=3 | P=15
PASS: A=5 B=4 | P=20
PASS: A=5 B=5 | P=25
PASS: A=5 B=6 | P=30
PASS: A=5 B=7 | P=35
PASS: A=5 B=8 | P=40
PASS: A=5 B=9 | P=45
PASS: A=5 B=10 | P=50
PASS: A=5 B=11 | P=55
PASS: A=5 B=12 | P=60
PASS: A=5 B=13 | P=65
PASS: A=5 B=14 | P=70
PASS: A=5 B=15 | P=75
PASS: A=6 B=0 | P=0
PASS: A=6 B=1 | P=6
PASS: A=6 B=2 | P=12
PASS: A=6 B=3 | P=18
PASS: A=6 B=4 | P=24
PASS: A=6 B=5 | P=30
PASS: A=6 B=6 | P=36
PASS: A=6 B=7 | P=42
PASS: A=6 B=8 | P=48
PASS: A=6 B=9 | P=54
PASS: A=6 B=10 | P=60
PASS: A=6 B=11 | P=66
PASS: A=6 B=12 | P=72
PASS: A=6 B=13 | P=78
PASS: A=6 B=14 | P=84
PASS: A=6 B=15 | P=90
PASS: A=7 B=0 | P=0
PASS: A=7 B=1 | P=7
PASS: A=7 B=2 | P=14
PASS: A=7 B=3 | P=21
PASS: A=7 B=4 | P=28
PASS: A=7 B=5 | P=35
PASS: A=7 B=6 | P=42
PASS: A=7 B=7 | P=49
PASS: A=7 B=8 | P=56
PASS: A=7 B=9 | P=63
PASS: A=7 B=10 | P=70
PASS: A=7 B=11 | P=77
PASS: A=7 B=12 | P=84
PASS: A=7 B=13 | P=91
PASS: A=7 B=14 | P=98
PASS: A=7 B=15 | P=105
PASS: A=8 B=0 | P=0
PASS: A=8 B=1 | P=8
PASS: A=8 B=2 | P=16
PASS: A=8 B=3 | P=24
PASS: A=8 B=4 | P=32
PASS: A=8 B=5 | P=40
PASS: A=8 B=6 | P=48
PASS: A=8 B=7 | P=56
PASS: A=8 B=8 | P=64
PASS: A=8 B=9 | P=72
PASS: A=8 B=10 | P=80
PASS: A=8 B=11 | P=88
PASS: A=8 B=12 | P=96
PASS: A=8 B=13 | P=104
PASS: A=8 B=14 | P=112
PASS: A=8 B=15 | P=120
PASS: A=9 B=0 | P=0
PASS: A=9 B=1 | P=9
PASS: A=9 B=2 | P=18
PASS: A=9 B=3 | P=27
PASS: A=9 B=4 | P=36
PASS: A=9 B=5 | P=45
PASS: A=9 B=6 | P=54
PASS: A=9 B=7 | P=63
PASS: A=9 B=8 | P=72
PASS: A=9 B=9 | P=81
PASS: A=9 B=10 | P=90
PASS: A=9 B=11 | P=99
PASS: A=9 B=12 | P=108
PASS: A=9 B=13 | P=117
PASS: A=9 B=14 | P=126
PASS: A=9 B=15 | P=135
PASS: A=10 B=0 | P=0
PASS: A=10 B=1 | P=10
